t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,dyaw,power,mode_xy,mode_z
1.040000,1.081190155,0.972056112,1.810227423,1.681605051,1.431165071,-0.190956888,-0.609409834,-0.893355719,0.551646149,-3.663488391,-3.603896730,1.030585185,0.000000000,0.000000000,true,0,0
1.050000,1.097975133,0.986322503,1.808345606,1.675331164,1.422054679,-0.185389917,-0.645030524,-0.928388212,0.561646341,-3.461250898,-3.403192735,0.969597901,0.000000000,0.000000000,true,0,0
1.060000,1.114695625,1.000496071,1.806519948,1.668711122,1.412603938,-0.179725980,-0.678646881,-0.961431388,0.571041000,-3.262622105,-3.206033180,0.909478707,0.000000000,0.000000000,true,0,0
1.070000,1.131348268,1.014573513,1.804751389,1.661764787,1.402832564,-0.173971087,-0.710294995,-0.992520691,0.579838808,-3.067602012,-3.012418067,0.850227603,0.000000000,0.000000000,true,0,0
1.080000,1.147929898,1.028551718,1.803040810,1.654511662,1.392759919,-0.168131164,-0.740010951,-1.021691564,0.588048446,-2.876190619,-2.822347394,0.791844587,0.000000000,0.000000000,true,0,0
1.090000,1.164437543,1.042427770,1.801389030,1.646970888,1.382405009,-0.162212050,-0.767830836,-1.048979453,0.595678594,-2.688387925,-2.635821162,0.734329660,0.000000000,0.000000000,true,0,0
1.100000,1.180868420,1.056198940,1.799796813,1.639161245,1.371786488,-0.156219495,-0.793790738,-1.074419802,0.602737933,-2.504193931,-2.452839370,0.677682823,0.000000000,0.000000000,true,0,0
1.110000,1.197219933,1.069862682,1.798264866,1.631101153,1.360922653,-0.150159165,-0.817926744,-1.098048055,0.609235144,-2.323608637,-2.273402019,0.621904075,0.000000000,0.000000000,true,0,0
1.120000,1.213489668,1.083416635,1.796793837,1.622808670,1.349831449,-0.144036637,-0.840274940,-1.119899657,0.615178908,-2.146632042,-2.097509108,0.566993415,0.000000000,0.000000000,true,0,0
1.130000,1.229675391,1.096858612,1.795384322,1.614301493,1.338530464,-0.137857402,-0.860871413,-1.140010052,0.620577906,-1.973264147,-1.925160639,0.512950845,0.000000000,0.000000000,true,0,0
1.140000,1.245775040,1.110186602,1.794036860,1.605596960,1.327036934,-0.131626866,-0.879752252,-1.158414685,0.625440818,-1.803504952,-1.756356609,0.459776364,0.000000000,0.000000000,true,0,0
